project,students,capacity,supervisor
Project1,[1],1,A
Project2,[19],1,A
Project3,[6],1,A
Project4,[3],1,A
Project5,"[12, 13]",2,B
Project6,[9],1,B
Project7,"[15, 20]",2,B
Project8,[],3,B
Project9,[],1,C
Project10,[2],1,C
Project11,[5],1,C
Project12,[4],1,C
Project13,[16],1,D
Project14,[8],1,D
Project15,[],1,D
Project16,[],1,D
Project17,[],1,E
Project18,[],3,E
Project19,[10],1,E
Project20,[11],2,E
Project21,[7],1,F
Project22,[14],1,F
Project23,[],1,G
Project24,[],1,G
Project25,[],1,G
Project26,[],0,H
Project27,[],1,H
Project28,[],1,H
