student,project,rank_choice,preference
1,Project1,1,"['Project1', 'Project20', 'Project3', 'Project21', 'Project2']"
2,Project10,1,"['Project10', 'Project1', 'Project4', 'Project3', 'Project9']"
3,Project4,1,"['Project4', 'Project3', 'Project19', 'Project21', 'Project2']"
4,Project12,1,"['Project12', 'Project21', 'Project13', 'Project20', 'Project10']"
5,Project11,1,"['Project11', 'Project1', 'Project14', 'Project1', 'Project4']"
6,Project3,1,"['Project3', 'Project22', 'Project13', 'Project3', 'Project12']"
7,Project21,2,"['Project12', 'Project21', 'Project4', 'Project21', 'Project11']"
8,Project14,1,"['Project14', 'Project17', 'Project2', 'Project1', 'Project10']"
9,Project6,1,"['Project6', 'Project8', 'Project10', 'Project22', 'Project4']"
10,Project19,1,"['Project19', 'Project20', 'Project1', 'Project21', 'Project12']"
11,Project20,2,"['Project1', 'Project20', 'Project3', 'Project21', 'Project2']"
12,Project5,1,"['Project5', 'Project12', 'Project21', 'Project13', 'Project17']"
13,Project5,1,"['Project5', 'Project11', 'Project1', 'Project14', 'Project8']"
14,Project22,3,"['Project4', 'Project3', 'Project22', 'Project13', 'Project20']"
15,Project7,1,"['Project7', 'Project12', 'Project21', 'Project4', 'Project20']"
16,Project13,4,"['Project14', 'Project1', 'Project4', 'Project13', 'Project20']"
17,,0,"['Project13', 'Project3', 'Project12', 'Project5', 'Project12']"
18,,0,"['Project4', 'Project21', 'Project11', 'Project5', 'Project11']"
19,Project2,1,"['Project2', 'Project1', 'Project10', 'Project4', 'Project3']"
20,Project7,4,"['Project10', 'Project22', 'Project4', 'Project7', 'Project12']"
